"All", "Wszystko"
"Invalid product data: %1", "Nieprawidłowe dane produktu: %1"
"The ""%1"" product couldn't be removed.", "Produkt ""%1"" nie może zostać usunięty."
"Database connection error", "Problem z połączeniem do bazy danych"
"Database deadlock found when trying to get lock", "Zakleszczenie bazy danych przy próbie założenia blokady"
"Database lock wait timeout exceeded", "Przekroczono limit czasu oczekiwania na zablokowanie bazy danych"
"There are not websites for assign to product", "Nie ma stron internetowych do przypisania do produktu"
"Could not assign product ""%1"" to websites ""%2""", "Produkt ""%1"" nie może być przypisany do strony ""%2"""
"Could not save product ""%1"" with websites %2", "Nie można zapisać produktu ""%1"" ze stroną %2"
"We cannot determine the field name.", "Nie można określić nazwy pola."
"Attribute '%1' is locked. %2", "Cecha '%1' jest zablokowana. %2"
"Do not change the scope. %1", "Nie zmieniaj zakresu. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface", "Procesor %1 nie implementuje BaseSelectProcessorInterface"
"A product type is not defined for the indexer.", "Typ produktu nie jest zdefiniowany dla indeksowania."
"Price indexer ""%1"" must implement %2 or %3", "Indexeer cen ""%1"" musi implementować %2 lub %3"
"Product with SKU %1 is not linked to product with SKU %2", "Produkt z SKU %1 nie jest związany z produktem z SKU %2"
"Dropdown", "Lista rozwijana"
"%1 doesn't extend \Magento\Framework\Filter\Template", "%1 nie rozszerza \Magento\Framework\Filter\Template"
"Could not get extension attributes", "Nie można pobrać cech rozszerzenia"
"HTML is invalid", "HTML jest nieprawidłowy"
"fl", "fl"
"message", "wiadomość"
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.", "Żądany produkt nie istnieje. Sprawdź produkt i spróbuj ponownie. Identyfikator wiersza: SKU = %SKU, ID sklepu: %storeId, Cena od: %priceFrom, Cena do: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.", "Nieprawidłowa cecha Cena = %price. Wiersz ID: SKU = %SKU, ID sklepu: %storeId, Cena od: %priceFrom, Cena do: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.", "Wybrany sklep nie istnieje. ID wiersza: SKU = %SKU, ID sklepu: %storeId, Cena Od: %priceFrom, Cena Do: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.", "Nieprawidłowa cecha %label = %priceTo. Wiersz ID: SKU = %SKU, ID sklepu: %storeId, Cena od: %priceFrom, Cena do: %priceTo."
"Lock wait timeout",Limit czasu oczekiwania na blokadę"
"123", "123"
"Category with ID: %s doesn't exist", "Kategoria z ID: %s nie istnieje"
"Product Name or SKU", "Nazwa produktu lub SKU"
"Start typing to find products", "Rozpocznij wpisywanie, aby znaleźć produkty"
"Product with ID: %s doesn't exist", "Produkt z ID: %s nie istnieje"
"Advanced Pricing", "Zaawansowane ceny"
"Customer Group Price", "Cena dla grupy klientów"
"Customer Group", "Grupa klienta"
"Special Price From", "Cena promocyjna od"
"Product Alerts", "Alerty produktów"
"Alert stock", "Alert o stanie magazynowym"
"Alert Stock", "Alert o stanie magazynowym"
"Alert price", "Alert cenowy"
"Alert Price", "Alert cenowy"
"Select Attribute", "Wybierz cechę"
"Create New Attribute", "Utwórz nową cechę"
"Customizable Options", "Konfigurowalne opcje"
"Custom options let customers choose the product variations they want.", "Niestandardowe opcje pozwalają kupującym wybierać warianty produktów, których potrzebują."
"Select Product", "Wybierz produkt"
"Add Value", "Dodaj wartość"
"Option Type", "Rodzaj opcji"
"Max Characters", "Maks. znaków"
"Compatible File Extensions", "Zgodne rozszerzenia pliku"
"Enter separated extensions, like: png, jpg, gif.", "Wpisz oddzielne rozszerzenia, takie jak: png, jpg, gif."
"Maximum Image Size", "Maksymalny rozmiar obrazka"
"Please leave blank if it is not an image.", "Proszę zostawić puste, jeśli nie jest to obraz."
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped", "Procesor %1 nie implementuje WysiwygConfigDataProcessorInterface. Zostanie pominięty."
"This item has weight", "Ta pozycja ma przypisaną wagę"
"This item has no weight", "Ta pozycja nie ma przypisanej wagi"
"Set Product as New From", "Ustaw produkt jako nowy od"
"Related Products, Up-Sells, and Cross-Sells", "Produkty powiązane, alternatywne i sprzedaże krzyżowe"
"Related products are shown to customers in addition to the item the customer is looking at.", "Powiązane produkty są pokazywane klientom jako dodatek do oglądanych przez nich produktów."
"Add Related Products", "Dodaj produkty powiązane"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.", "Produkty alternatywne są dla klientów droższą lub lepszą jakościowo alternatywą dla oglądanych przez nich produktów."
"Add Up-Sell Products", "Dodaj produkty alternatywne"
"Up-Sell Products", "Produkty alternatywne (Up-Sell)"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.", "Produkty typu „cross-sell” pojawiają się w koszyku jako dodatki zwiększające wielkość zamówienia."
"Add Cross-Sell Products", "Dodaj produkty krzyżowe"
"Cross-Sell Products", "Produkty sprzedaży krzyżowej (Cross-sell)"
"Schedule Update From", "Ustaw aktualizację od"
"Product in Websites", "Dostępność w witrynach"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.", "Jeśli Twoja instalacja Magento ma wiele witryn internetowych, możesz edytować zakres, aby korzystać z produktu w określonych witrynach."
"name", "nazwa"
"Copy Data from", "Kopiowanie danych z"
"Collapse All", "Zwiń wszystko"
"Expand All", "Rozwiń wszystko"
"Please confirm site switching. All data that hasn't been saved will be lost.", "Potwierdź zmianę poziomu. Wszystkie niezapisane dane zostaną utracone."
"Manage Titles (Size, Color, etc.)", "Zarządzaj etykietami (Rozmiar, Kolor itp.)"
"Manage Options (Values of Your Attribute)", "Zarządzaj opcjami (wartościami cechy)"
"Sort Option", "Opcja sortowania"
"The value of Admin must be unique.", "Wartość pola ""Admin"" musi być unikatowa."
"Groups", "Grupy"
"Double click on a group to rename it.", "Kliknij dwukrotnie na grupę, aby zmienić jej nazwę."
"Unassigned Attributes", "Nieprzypisane cechy"
"This group contains system attributes. Please move system attributes to another group and try again.", "Nie możesz usunąć cech z tego zestawu. Przenieś je do innego zestawu i ponów próbę."
"A name is required.", "Nazwa jest wymagana."
"Please select a node.", "Wybierz węzeł."
"Please enter a new group name.", "Wprowadź nazwę nowej grupy."
"An attribute group named ""/name/"" already exists.", "Grupa atrybutów o nazwie ""/nazwa/"" już istnieje."
"Sorry, we're unable to complete this request.", "Przepraszamy, nie możemy zrealizować tego żądania."
"You can't remove attributes from this attribute set.", "Nie można usuwać atrybutów z tego zestawu atrybutów."
"Custom Options", "Opcje niestandardowe"
"This is a required option.", "Ta opcja jest wymagana."
"The field isn't complete.", "Pole nie jest kompletne."
"Compatible file extensions to upload", "Kompatybilne rozszerzenia wgrywanego pliku"
"Maximum image width", "Maksymalna szerokość obrazka"
"Maximum image height", "Maksymalna wysokość obrazka"
"Maximum number of characters:", "Maksymalna ilość znaków:"
"start typing to search template", "Zacznij pisać, aby wyszukać szablon"
"Product online", "Produkt włączony"
"Product offline", "Produkt wyłączony"
"Product online status", "Status online produktu"
"Manage Stock", "Zarządzaj stanami"
"Out-of-Stock Threshold", "Przedział dla braku w magazynie"
"Minimum Qty Allowed in Shopping Cart", "Minimalna ilość w koszyku"
"Maximum Qty Allowed in Shopping Cart", "Maksymalna ilość w koszyku"
"Qty Uses Decimals", "Ilość używa wartości dziesiętnych"
"Backorders", "Rezerwacje"
"Notify for Quantity Below", "Powiadamiaj o ujemnej ilości"
"Enable Qty Increments", "Włącz zwiększanie ilości"
"Qty Increments", "Zwiększanie ilości"
"Stock Availability", "Dostępność towaru"
"In Stock", "W magazynie"
"Out of Stock", "Brak w magazynie"
"Add Product To Websites", "Dodaj produkty do witryn"
"Remove Product From Websites", "Usuń produkt z witryn"
"To hide an item in catalog or search results, set the status to ""Disabled"".", "Aby ukryć produkt w katalogu lub w wynikach wyszukiwania, należy ustawić jego stan na ""Wyłączony""."
"Delete Custom Option", "Usuń opcję niestandardowe"
"Sort Custom Options", "Niestandardowe opcje sortowania"
"%1 <span>x</span> %2 <span>px.</span>", "%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option", "Niestandardowe opcje sortowania"
"Item Price", "Cena produktu"
"and above", "i powyżej"
"Delete Tier", "Usuń poziom"
"Product In Websites", "Dostępność w witrynach"
"(Copy data from: %1)", "(Kopiuj dane z: %1)"
"Hidden", "Ukryty"
"Alt Text", "Tekst alternatywny"
"Role", "Rola"
"Image Size", "Rozmiar zdjęcia"
"{size}", "{rozmiar}"
"Image Resolution", "Rozdzielczość zdjęcia"
"{width}^{height} px", "{szerokość}^{wysokość} px"
"Hide from Product Page", "Ukryj na stronie produktu"
"Allow Multiple Boxes for Shipping", "Zezwól na dzielenie wysyłki"
"start typing to search attribute", "Zacznij pisać, aby wyszukać cechę"
"Basic Settings", "Podstawowe ustawienia"
"Advanced Settings", "Ustawienia zaawansowane"
"Buy %1 for: ", "Kup %1 za: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>", "Kup %1 po %2 za każdy i <strong class=""benefit"">zaoszczędź<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each", "Kup %1 dla %2 poszczególnych"
"You added product %1 to the <a href=""%2"">comparison list</a>.", "Dodano produkt %1 do <a href=""%2"">listy porównania produktów</a>."
"Shopping Options", "Opcje zakupów"
"Compare Products", "Porównaj produkty"
"Print This Page", "Drukuj stronę"
"Remove Product", "Usuwanie produktu"
"Add to Wish List", "Dodaj do listy życzeń"
"You have no items to compare.", "Nie dodałeś żadnych produktów do porównania."
"Remove This Item", "Usuń ten element"
"Compare", "Porównaj"
"Clear All", "Wyczyść wszystko"
"Prev", "Poprzedni"
"We can't find products matching the selection.", "Nie można znaleźć produktów spełniających wybrane kryteria."
"Learn More", "Dowiedz się więcej"
"Add to Compare", "Porównaj"
"We found other products you might like!", "Znaleźliśmy inne produkty, które mogą Cię zainteresować!"
"More Choices:", "Więcej możliwości:"
"Check items to add to the cart or", "Zaznacz produkty, żeby dodać je do koszyka lub"
"select all", "zaznacz wszystko"
"Items %1-%2 of %3", "Produkty %1-%2 z %3"
"%1 Item", "%1 element"
"%1 Items", "Produkty %1"
"Sort By", "Sortuj wg"
"Set Ascending Direction", "Ustaw kierunek rosnący"
"Set Descending Direction", "Ustaw kierunek malejący"
"View as", "Zobacz jako"
"More Information", "Więcej informacji"
"Maximum %1 characters", "Maksymalna ilość znaków: %1"
"Selected Attributes\:", "Selected Attributes\:"
"Warning message", "Komunikat ostrzegawczy"
"We don't recognize or support this file extension type.", "Nie możemy rozpoznać lub obsługiwać tego typu rozszerzenia pliku."
"Configure Product", "Konfiguruj produkt"
"OK", "OK"
"This value does not follow the specified format (for example, 200X300).", "Ta wartość nie ma odpowiedniego formatu (na przykład 200X300)."
"Select type of option.", "Proszę wybrać rodzaj opcji."
"Please add rows to option.", "Dodaj rzędy do opcji."
"Choose existing category.", "Wybierz istniejącej kategorii."
"Image Detail", "Szczegóły obrazu"
"Adding...", "Dodawanie..."
"Added", "Dodane"
"remaining", "pozostałe"
"too many", "zbyt wiele"
"does not implement Storage Interface", "nie implementuje interfejsu pamięci masowej"
"unselect all", "odznacz wszystko"
"Inventory", "Magazyn"
"Edit Product Design", "Edytuj projekt produktu"
"Edit Category Design", "Edytuj projekt kategorii"
"Catalog Section", "Sekcja katalogu"
"Small", "Mały"
"Main", "Główny"
"Custom image", "Zdjęcie niestandardowe"
"Date and Time", "Data i godzina"
"Product Fields Auto-Generation", "Auto generowanie pola produktu"
"Mask for SKU", "Maska dla SKU"
"Use {{name}} as Product Name placeholder", "Używaj {{name}} jako nazwa zastępcza"
"Mask for Meta Title", "Maska dla tytułu Meta"
"Mask for Meta Keywords", "Maska dla słów kluczowych Meta"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders", "Użyj {{name}} jako nazwa produktu lub {{sku}} jako SKU produktu"
"Mask for Meta Description", "Maska dla opisu Meta"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders", "Użyj {{name}} i {{description}} jako nazwa produktu i opis produktu"
"Recently Viewed/Compared Products", "Ostatnio oglądane/porównywane produkty"
"Lifetime of products in Recently Viewed Widget", "Żywotność produktów w ostatnio oglądanym pluginie"
"Lifetime of products in Recently Compared Widget", "Żywotność produktów w ostatnio oglądanym pluginie"
"Synchronize widget products with backend storage", "Synchronize widget products with backend storage"
"Storefront", "Witryna sklepu"
"List Mode", "Tryb listy"
"Products per Page on Grid Allowed Values", "Dozwolona ilość produktów na stronie (widok siatki)"
"Comma-separated.", "Oddzielone przecinkami."
"Products per Page on Grid Default Value", "Domyślna ilość produktów na stronie (widok siatki)"
"Must be in the allowed values list.", "Musi znajdować się na liście dozwolonych wartości."
"Products per Page on List Allowed Values", "Dozwolona ilość produktów na stronie (widok listy)"
"Products per Page on List Default Value", "Domyślna ilość produktów na stronie (widok listy)"
"Use Flat Catalog Category", "Użyj płaskiego katalogu kategorii"
"Use Flat Catalog Product", "Użyj płaskiego katalogu produktów"
"Product Listing Sort by", "Wykaz produktów sortowany wg"
"Applies to category pages.", "Dotyczy stron kategorii."
"Allow All Products per Page", "Zezwól na pokazywanie wszystkich produktów na stronie"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.", "Czy pokazać ocpję ""Wszystkie"" w ""Pokaż X na stronę"" w liście rozwijanej."
"Remember Category Pagination", "Zapamiętaj paginację kategorii"
"Changing may affect SEO and cache storage consumption.", "Zmiana może wpłynąć na SEO i zużycie pamięci podręcznej."
"Product Image Placeholders", "Obrazki zastępcze produktu"
"Page Title Separator", "Separator tytułu strony"
"Use Canonical Link Meta Tag For Categories", "Zastosuj meta tag Canonical dla kategorii"
"Use Canonical Link Meta Tag For Products", "Zastosuj meta tag Canonical dla produktów"
"Catalog Price Scope", "Zakres cen w katalogu"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").", "Definiuje zakres bazowej waluty (""Ustawienia waluty"" > ""Opcje waluty"" > ""Bazowa waluta"")."
"Display Category Filter", "Wyświetl filtr kategoorii"
"Category Top Navigation", "Nawigacja górna kategorii"
"Maximal Depth", "Maksymalna głębokość"
"Date & Time Custom Options", "Indywidualne opcje daty i czasu"
"Use JavaScript Calendar", "Użyj kalendarza JavaScript"
"Date Fields Order", "Kolejność pól daty"
"Time Format", "Format czasu"
"Year Range", "Zakres lat"
"Please use a four-digit year format.", "Proszę użyć cztero-cyfrowego formatu roku."
"Use Static URLs for Media Content in WYSIWYG", "Zastosuj statyczne adresy URL dla multimediów w edytorze WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.", "Treści graficzne będą wstawiane do edytora jako statyczne adresy URL. Treści graficzne nie są aktualizowane, jeśli bazowy adres URL jest zmieniony w konfiguracji."
"Top Level Category", "Kategoria najwyższego poziomu"
"Default Layouts", "Domyślne układy"
"Default Product Layout", "Domyślny układ produktu"
"Default Category Layout", "Domyślny układ kategorii"
"Images should be optimized based on query parameters by your CDN or web server. Use the legacy mode for backward compatibility. <a href=""https://docs.magento.com/m2/ee/user_guide/configuration/general/web.html#url-options"">Learn more</a> about catalog URL formats.<br/><br/><strong style=""color:red"">Warning!</strong> If you switch back to legacy mode, you must <a href=""https://devdocs.magento.com/guides/v2.3/frontend-dev-guide/themes/theme-images.html#resize-catalog-images"">use the CLI to regenerate images</a>.", "Obrazy powinny być zoptymalizowane na podstawie parametrów zapytania przez Twoją sieć CDN lub serwer sieciowy. Użyj starszego trybu, aby uzyskać zgodność z poprzednimi wersjami. <a href=""https://docs.magento.com/m2/ee/user_guide/configuration/general/web.html#url-options"">Dowiedz się więcej</a> o formacie URL katalogu.<br/><br/><strong style=""color:red"">Uwaga!</strong> Jeśli przełączysz się z powrotem do trybu starszego, musisz <a href=""https://devdocs.magento.com/guides/v2.3/frontend-dev-guide/themes/theme-images.html#resize-catalog-images"">użyć lini komend aby zregenerować obrazki</a>."
"Images Upload Configuration", "Konfiguracja przesyłania obrazów"
"Quality", "Jakość"
"Jpeg quality for resized images 1-100%.", "Jakość JPEG dla obrazów o zmienionym rozmiarze 1-100%."
"Product Info Column", "Kolumna informacji o produkcie"
"Block after Info Column", "Blok po kolumnie informacyjnej"
"Product Flat Data", "Płaskie dane produktu"
"Reorganize EAV product structure to flat structure", "Przeorganizuj strukturę EAV produktów do płaskiej struktury"
"Category Flat Data", "Płaskie dane kategorii"
"Reorganize EAV category structure to flat structure", "Przeorganizuj strukturę EAV kategorii do płaskiej struktury"
"Category Products", "Produkty kategorii"
"Indexed category/products association", "Zaindeksowane powiązania kategorii/produktów"
"Product Categories", "Kategorie produktu"
"Indexed product/categories association", "Powiązanie indeksowanych produktów/kategorii"
"Product Price", "Cena"
"Index product prices", "Indeksuj ceny produktów"
"Product EAV", "Produkt EAV"
"Index product EAV", "Indeks produktu EAV"
"Catalog New Products List", "Lista nowych produktów katalogu"
"List of Products that are set as New", "Lista produktów oznaczonych jako Nowe"
"Display Type", "Typ wyświetlania"
"All products - recently added products, New products - products marked as new", "Wszystkie produkty - ostatnio dodane, Nowe produkty - produkty oznaczone jako nowe"
"All products", "Wszystkie produkty"
"New products", "Nowe produkty"
"Display Page Control", "Pokazuj nawigację stron"
"Number of Products per Page", "Ilość produktów na stronie"
"Number of Products to Display", "Ilość produktów do pokazania"
"Template", "Szablon"
"New Products Grid Template", "Szablon siatki nowych produktów"
"New Products List Template", "Szablon listy nowych produktów"
"New Products Images and Names Template", "Nowe zdjęcia produktów i nazw szablonów"
"New Products Names Only Template", "Szablon tylko nowych nazw produktów"
"New Products Images Only Template", "Szablon tylko nowych zdjęć produktów"
"Cache Lifetime (Seconds)", "Czas ważności cache (sekundy)"
"Catalog Product Link", "Link produktu"
"Link to a Specified Product", "Link do wybranego produktu"
"Select Product...", "Wybierz produkt..."
"Anchor Custom Text", "Własny tekst kotwicy"
"If empty, we'll use the product name here.", "Jeśli puste, wykorzystana zostanie nazwa produktu."
"Anchor Custom Title", "Własny tytuł kotwicy"
"Product Link Block Template", "Szablon blokowy linku produktu"
"Product Link Inline Template", "Szablon liniowy linku produktu"
"Catalog Category Link", "Link kategorii katalogu"
"Link to a Specified Category", "Link do wybranej kategorii"
"Select Category...", "Wybierz kategorię..."
"If empty, we'll use the category name here.", "Jeśli puste, użyj nazwy kategorii tutaj."
"Category Link Block Template", "Szablon bloku linku kategorii"
"Category Link Inline Template", "Szablon linii linku kategorii"
"Recently Viewed Products", "Ostatnio oglądane produkty"
"List of Products Recently Viewed by Visitor", "Lista produktów ostatnio porównywanych przez odwiedzającego"
"UI Component", "Komponent UI"
"Number of Products to display", "Pokazywana liczba produktów"
"Product attributes to show", "Atrybuty produktu do pokazania"
"Image", "Obrazek"
"Learn More Link", "Link Dowiedz się więcej"
"Buttons to show", "Przycisk do wyświetlenia"
"Add to Wishlist", "Dodaj do listy życzeń"
"Viewed Products Grid Template", "Szablon siatki oglądanych produktów"
"Viewed Products List Template", "Szablon listy oglądanych produktów"
"Viewed Products Sidebar Template", "Oglądane szablony pasków bocznych"
"Recently Compared Products", "Ostatnio porównywane produkty"
"List of Products Recently Compared by Visitor", "Lista produktów ostatnio porównywanych przez odwiedzającego"
"Compared Products Grid Template", "Szablon siatki porównywanych produktów"
"Compared Products List Template", "Szablon listy porównywanych produktów"
"Set", "Ustaw"
"Category Information", "Informacje o kategorii"
"Enable Category", "Włącz kategorię"
"Include in Menu", "Pokaż w menu"
"Category Image", "Obraz kategorii"
"Add CMS Block", "Dodaj blok CMS"
"Display Settings", "Wyświetlanie"
"Display Mode", "Tryb wyświetlania"
"Anchor", "Zakotwiczona (wyświetla filtry atrybutów)"
"Available Product Listing Sort By", "Sortuj listę dostępnych produktów po"
"Use All", "Użyj wszystkie"
"Default Product Listing Sort By", "Sortuj listę domyślnych produktów po"
"Layered Navigation Price Step", "Krok cen w nawigacji warstwowej"
"URL Key", "Klucz URL"
"Meta Title", "Meta tytuł"
"Meta Keywords", "Słowa kluczowe"
"Meta Description", "Opis strony META"
"Products in Category", "Produkty w kategorii"
"Type Code", "Kod typu"
"Theme", "Motyw"
"Layout", "Układ"
"Layout Update XML", "XML aktualizacji układu"
"Apply Design to Products", "Zastosuj projekt do produktów"
"Schedule Design Update", "Harmonogram aktualizacji wyglądu"
"AttributeSetText", "AttributeSetText"
"StatusText", "StatusText"
"Product Image Watermarks", "Znaki wodne produktu"
"Allowed file types: jpeg, gif, png.", "Dozwolone typy plików: jpeg, gif, png."
"Image Opacity", "Przezroczystość obrazu"
"Example format: 200x300.", "Przykładowy format: 200x300."
"Image Position", "Położenie obrazu"
"Attribute Properties", "Właściwości cechy"
"Attribute Label", "Etykieta cechy"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.", "Typ danych wejściowych edytora tekstu wymaga włączenia WYSIWYG w Sklepy > Konfiguracja > Zarządzanie treścią."
"Catalog Input Type for Store Owner", "Typ pola katalogu dla właściciela sklepu"
"Values", "Wartości"
"Add this attribute to the list of column options in the product grid.", "Dodaj ten atrybut do listy opcji kolumny w siatce produktu."
"Add this attribute to the list of filter options in the product grid.", "Dodaj ten atrybut do listy opcji filtrowania w siatce produktu."
"Delete selected items?", "Usunąć wybrane pozycje?"
"Delete items", "Usuń elementy"
"Change status", "Zmień status"
"Update attributes", "Aktualizuj cechy"
"Overview", "Podgląd"
"Skip to the end of the images gallery", "Przejdź na koniec galerii"
"Skip to the beginning of the images gallery", "Przejdź na początek galerii"
"Recently Compared", "Ostatnio porównywane"
"Add To Cart", "Dodaj do koszyka"
"Add To Compare", "Dodaj do porównania"
"Learn more", "Dowiedz się więcej"
"Recently Viewed", "Ostatnio oglądane"
"Edit Event", "Edycja zdarzenia"
"Add Event", "Dodaj wydarzenie"
"Events", "Zdarzenia"
"Add Catalog Event", "Dodaj zdarzenie katalogu"
"Back to Category", "Powrót do kategorii"
"Edit Catalog Event", "Edytuj zdarzenie katalogu"
"Catalog Event Information", "Informacje o zdarzeniu katalogu"
"Upcoming", "Nadchodzące"
"Open", "Otwarte"
"Closed", "Zamknięte"
"Display Countdown Ticker On", "Wyświetlanie odliczania"
"Category Page", "Strona kategorii"
"Product Page", "Strona produktu"
"Coming Soon", "Wkrótce"
"Sale Ends In", "Sprzedaż kończy się"
"You deleted the event.", "Usunięto zdarzenie."
"New Event", "Nowe zdarzenie"
"Something went wrong while saving this event.", "Coś się zepsuło podczas zapisywania tego wydarzenia."
"We did not upload your image.", "Nie przesłaliśmy twojego obrazu."
"You saved the event.", "Zapisano zdarzenie."
"%1 is required.", "%1 jest wymagane."
"Please make sure the end date follows the start date.", "Upewnij się, że data końcowa następuje po dacie rozpoczęcia."
"Event for selected category", "Zdarzenie dla wybranej kategorii"
"Lister Block", "Blok listujący"
"This product is no longer on sale.", "Ten produkt nie jest już w sprzedaży."
"Some of these products can no longer be sold.", "Niektóre z tych produktów nie mogą być sprzedawane."
"Select Category", "Wybierz kategorię"
"Dayclears", "Dayclears"
"Hrs", "godz"
"Mins", "min"
"Sec", "sek"
"Preview Sale", "Podgląd sprzedaży"
"Go To Sale", "Przejdź do sprzedaży"
"View Sale", "Zobacz sprzedaż"
"Days", "Dni"
"Catalog Events", "Zdarzenia katalogu"
"Enable Catalog Events Functionality", "Włącz funkcjonalność zdarzeń katalogu"
"Enable Catalog Event Widget on Storefront", "Włącz widget wydarzeń katalogu na stronie"
"Number of Events to be Displayed in Event Slider Widget", "Liczba zdarzeń, które mają być wyświetlane w przypadku widżetu karuzeli"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.", "Można zastąpić tę domyślną wartość w CMS zmienając zmienną limit=""x"". Pozostaw puste żeby usunąć ograniczenia."
"Events to Scroll per Click in Event Slider Widget", "Ilość zdarzeń przesuwanych po kliknięciu w widżet karuzeli zdarzeń"
"You can override this default value in CMS using the limit=""x"" variable.", "Można zastąpić tę domyślną wartość w CMS zmienając zmienną limit=""x""."
"Catalog Events Carousel", "Karuzela zdarzeń katalogu"
"List all open Catalog Events as a Paginated Carousel", "Lista wszystkich otwartych zdarzeń katalogów jako karuzela"
"Frame Size", "Rozmiar ramki"
"Number of Items to display at once", "Liczba elementów wyświetlanych na raz"
"Scroll", "Przewijanie"
"Number of Items to scroll per click", "Liczba elementów przewijanym po kliknięciu"
"Block Custom Width", "Niestandardowa szerokość bloku"
"If empty, we'll automatically set the width value in pixels.", "Jeśli puste, automatycznie ustawimy szerokość w pikselach."
"Catalog Events Carousel Default Template", "Domyślny szablon karuzeli zdarzeń katalogu"
"Category ID", "ID kategorii"
"Start", "Start"
"End", "Koniec"
"Countdown Ticker", "Odliczanie"
"Concrete type for %1 not implemented", "Konkretny typ dla %1 nie został zaimplementowany"
"Missing key %1 in product data", "Brakuje klucza %1 w danych produktu"
"""path"" value should be specified", "wartość ""path"" musi być określona"
"currentPage value %1 specified is greater than the number of pages available.", "obecny numer strony %1 jest większy niż dostępna ilość stron."
"""id for category should be specified", """id danej kategorii musi być określone"
"No child sku found for product link.", "Brak podrzędnych sku dla produktu."
"'search' or 'filter' input argument is required.", "Uzupełnienie argumentu 'search' lub 'filter' jest wymagane."
"SimpleProduct type not defined in schema.", "Typ Prostego Produktu nie jest zdefiniowany w schemacie."
"'category_id' only supports 'eq' condition type.", "'category_id' wspiera tylko typ warunku 'eq'."
"Cannot resolve layered filter type", "Cannot resolve layered filter type"
"Cannot resolve type", "Nie można rozpoznać typu"
"Category doesn't exist", "Kategoria nie istnieje"
"""image_type"" value should be specified", "Wartość ""image_type"" musi być określona"
"currentPage value %1 specified is greater than the %2 page(s) available.", "obecny numer strony %1 jest większy niż dostępna ilość stron %2."
"There are no product types available for export.", "Brak rodzajów produktów możliwych do eksportu."
"'Entity type model must be an instance of ' .", "'Typ modelu musi być instancją ' ."
"Wrong attribute set code ""%1"", please correct it and try again.", "Nieprawidłwy kod zestawu cech ""%1"", popraw i spróbuj ponownie."
"Category ""%1"" has not been created.", "Kategoria ""%1"" nie została utworzona."
"File directory '%1' is not readable.", "Katalog '%1' nie jest ustawiony do odczytu."
"File directory '%1' is not writable.", "Katalog '%1' nie jest ustawiony do zapisu."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value", "Wartość atrybutu 'cena' w 'sklep' zawiera nieprawidłową wartość"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: %1", "Wartość atrybutu podrzędnego 'type' w atrybucie 'custom_options' zawiera nieprawidłową wartość, dopuszczalne wartości to: %1"
"Please enter a value for title.", "Wprowadź wartości dla tytułu."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value", "Wartość atrybutu 'cena' w 'custom_options' zawiera nieprawidłową wartość"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value", "Wartość atrybutu 'Maksymalna znaków' w 'custom_options' zawiera nieprawidłową wartość"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value", "Wartość atrybutu 'cena' w 'custom_options' zawiera nieprawidłową wartość"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value", "Wartość atrybutu 'cena' w 'custom_options' zawiera nieprawidłową wartość"
"This name is already being used for custom option. Please enter a different name.", "Ta nazwa jest już używana dla niestandardowych opcji. Podaj inną nazwę."
"Custom options have different types.", "Niestandardowe opcje mają różne typy."
"Every option entity must have a parent product entity.", "Każda opcja musi mieć obiekt produktu nadrzędnego."
"Please correct the parameters.", "Proszę poprawić parametry."
